Molecule ChEMBL ID;Standard Type;Standard Relation;Standard Value
CHEMBL3781168;GI50;'>';10000
CHEMBL1421;GI50;'=';3
CHEMBL3781721;GI50;'=';61
CHEMBL3780586;GI50;'=';9
CHEMBL3780219;GI50;'=';140
CHEMBL3781013;GI50;'=';524
CHEMBL3781859;GI50;'=';1400
CHEMBL3781577;GI50;'=';1030
CHEMBL255863;GI50;'=';23
CHEMBL3780622;GI50;'=';14
CHEMBL3781512;GI50;'=';32
CHEMBL3780441;GI50;'=';30
CHEMBL3780983;GI50;'=';5
CHEMBL3780835;GI50;'=';214
CHEMBL3781199;GI50;'=';6400
CHEMBL1214141;GI50;'=';5
CHEMBL3780326;GI50;'=';150
CHEMBL3781168;GI50;'>';10000
CHEMBL3781013;GI50;'=';570
CHEMBL1214141;GI50;'=';14
CHEMBL2403816;GI50;'=';4300
CHEMBL3780177;GI50;'=';1260
CHEMBL3781685;GI50;'=';2705
CHEMBL3780940;GI50;'=';470
CHEMBL3780377;GI50;'=';1100
CHEMBL255863;GI50;'=';4
CHEMBL3780219;GI50;'=';45
CHEMBL3780219;GI50;'=';363
CHEMBL255863;GI50;'=';1093
CHEMBL2403814;GI50;'=';4100
CHEMBL3781253;GI50;'=';19
CHEMBL3780021;GI50;'=';14
CHEMBL3780040;GI50;'=';42
CHEMBL3781590;GI50;'=';2100
CHEMBL3781685;GI50;'=';2043
CHEMBL3781590;GI50;'=';1300
CHEMBL3780544;GI50;'=';105
CHEMBL3780441;GI50;'=';42
CHEMBL3780983;GI50;'=';5
CHEMBL3780370;GI50;'=';1600
CHEMBL3780190;GI50;'=';3600
CHEMBL3781353;GI50;'=';311
CHEMBL3780622;GI50;'=';6
CHEMBL3780628;GI50;'=';570
CHEMBL3780219;GI50;'=';53
CHEMBL3780219;GI50;'=';45
CHEMBL3781900;GI50;'=';87
CHEMBL3780453;GI50;'=';931
CHEMBL3780219;GI50;'=';440
CHEMBL3781678;GI50;'=';4100
CHEMBL3780628;GI50;'=';124
CHEMBL3781900;GI50;'=';36
CHEMBL3781859;GI50;'=';1200
CHEMBL3780586;GI50;'=';15
CHEMBL1336;GI50;'=';7300
CHEMBL941;GI50;'=';2169
CHEMBL941;GI50;'=';380
CHEMBL3781353;GI50;'=';628
CHEMBL3780835;GI50;'=';1290
CHEMBL3780377;GI50;'=';983
CHEMBL3780021;GI50;'=';20
CHEMBL3781090;GI50;'=';292
CHEMBL3781090;GI50;'=';126
CHEMBL3781789;GI50;'=';120
CHEMBL3780978;GI50;'=';39
CHEMBL3780190;GI50;'=';2900
CHEMBL3781253;GI50;'=';50
CHEMBL3593290;GI50;'=';190
CHEMBL3780101;GI50;'=';2034
CHEMBL3780940;GI50;'=';590
CHEMBL3780101;GI50;'=';294
CHEMBL3780453;GI50;'=';1500
CHEMBL3781173;GI50;'=';185
CHEMBL3780177;GI50;'=';1380
CHEMBL3780255;GI50;'>';10000
CHEMBL3781278;GI50;'=';1400
CHEMBL941;GI50;'>';10000
CHEMBL3781199;GI50;'=';5200
CHEMBL3780370;GI50;'=';1100
CHEMBL3780222;GI50;'=';445
CHEMBL3780040;GI50;'=';31
CHEMBL255863;GI50;'=';17
CHEMBL3780222;GI50;'=';670
CHEMBL3781173;GI50;'=';67
CHEMBL3780544;GI50;'=';55
CHEMBL3780978;GI50;'=';46
CHEMBL3780255;GI50;'>';10000
CHEMBL3781678;GI50;'=';4240
CHEMBL3780478;GI50;'=';787
CHEMBL3781644;GI50;'=';288
CHEMBL3781789;GI50;'=';96
CHEMBL576982;GI50;'>';20000
CHEMBL941;GI50;'=';625
CHEMBL255863;GI50;'=';202
CHEMBL3781577;GI50;'=';1849
CHEMBL3781278;GI50;'=';1600
CHEMBL3780478;GI50;'=';1100
CHEMBL3781721;GI50;'=';66
CHEMBL3781644;GI50;'=';132
CHEMBL3780219;GI50;'=';7
CHEMBL3780326;GI50;'=';100
CHEMBL3781512;GI50;'=';15
CHEMBL941;GI50;'=';1690
CHEMBL1421;GI50;'=';4
CHEMBL255863;GI50;'=';25
CHEMBL608533;GI50;'>';20000
CHEMBL1421;GI50;'=';14
CHEMBL1421;GI50;'=';3
CHEMBL1421;GI50;'=';1
CHEMBL1421;GI50;'=';8
CHEMBL941;GI50;'=';659
