,Molecule ChEMBL ID,Smiles,Standard Relation,Standard Value,Standard Units
162,CHEMBL86473,,'=',30200.0,nM
425,CHEMBL86473,,'>',1000000.0,nM
561,CHEMBL294467,,'=',8050.0,nM
579,CHEMBL86473,,'=',38100.0,nM
1044,CHEMBL179166,,,,
1115,CHEMBL179166,,'=',15200.0,nM
1865,CHEMBL86473,,'=',30800.0,nM
1867,CHEMBL86473,,'>',1000000.0,nM
1882,CHEMBL179166,,,,
2308,CHEMBL179166,,'=',7830.0,nM
2410,CHEMBL2000194,,'=',7930.0,nM
2531,CHEMBL294467,,'=',22000.0,nM
2709,CHEMBL2057662,,'>',100000.0,nM
2802,CHEMBL2259736,,'=',86500.0,nM
3030,CHEMBL179166,,'=',8540.0,nM
3094,CHEMBL179166,,'=',4000.0,nM
3420,CHEMBL179166,,'=',46.0,nM
3424,CHEMBL179166,,'=',4580.0,nM
3656,CHEMBL179166,,'=',46.0,nM
